word	target	forms	processes	indicators	reactions	smile
ha						S4
ha						S4
ha						S4
tu						S4
me						S4
dis						S4
tu						S4
l						S4
as						S4
vue						S4
il						S4
y						S4
a						S4
vingt-cinq						S4
ans						S4
et						S4
le						S4
bébé						S4
avec						S4
elle						S4
qui						S4
était						S4
sur						S4
la						S2
photo						S2
il						S2
était						S2
co-						S2
il						S2
avait						S2
quel						S2
âge						S2
ah						S2
voilà						S2
c'est						S2
une						S2
jeune						S2
fille						S2
voilà						S2
d						S2
accord						S2
c'est						S2
une						S2
jeune						S2
fille						S2
ouais						S2
oui	I	moquerie	rebond	rire	positive	S2
donc	I	moquerie	rebond	rire	positive	S2
là	I	moquerie	rebond	rire	positive	S2
tu	I	moquerie	rebond	rire	positive	S2
peux	I	moquerie	rebond	rire	positive	S2
te	I	moquerie	rebond	rire	positive	S4
demander	I	moquerie	rebond	rire	positive	S4
si	I	moquerie	rebond	rire	positive	S4
c'est	I	moquerie	rebond	rire	positive	S4
pas	I	moquerie	rebond	rire	positive	S4
ta	I	moquerie	rebond	rire	positive	S4
fille	I	moquerie	rebond	rire	positive	S4
non						S4
huh						S4
huh						S4
ça	I	moquerie	jouer le jeu/fictionnalisation/discours rapporté en écho	rire	positive	S4
va	I	moquerie	jouer le jeu/fictionnalisation/discours rapporté en écho	rire	positive	S4
toi	I	moquerie	jouer le jeu/fictionnalisation/discours rapporté en écho	rire	positive	S4
et	I	moquerie	jouer le jeu/fictionnalisation/discours rapporté en écho	rire	positive	S4
ta	I	moquerie	jouer le jeu/fictionnalisation/discours rapporté en écho	rire	positive	S4
fille	I	moquerie	jouer le jeu/fictionnalisation/discours rapporté en écho	rire	positive	S4
hahaha	I	moquerie	jouer le jeu/fictionnalisation/discours rapporté en écho	rire	positive	S4
ha	I	moquerie	jouer le jeu/fictionnalisation/discours rapporté en écho	rire	positive	S4
ha	I	moquerie	jouer le jeu/fictionnalisation/discours rapporté en écho	rire	positive	S4
haha						S4
oh						S4
parle						S4
bien						S4
quand						S4
même						S4
?						S4
ha						S4
ha						S4
ha						S4
ha 						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
oh						S3
putain						S3
c'est						S3
ça						S3
et						S3
elle						S3
t'a						S3
répondu						S3
du						S3
coup						S3
ah						S1
t'as						S1
pas						S1
répondu						S1
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
et	I	moquerie	disocurs allusif	prosodie	negative	S4
tant	I	moquerie	disocurs allusif	prosodie	negative	S4
mieux	I	moquerie	disocurs allusif	prosodie	negative	S1
oui	I	moquerie	disocurs allusif	prosodie	negative	S1
oui	I	moquerie	disocurs allusif	prosodie	negative	S1
ouais						S1
tu						S1
profite						S1
euh						S1
euh						S1
coucou	I	moquerie	fictionnalisation/discours rapporté fictif en écho	prosodie	positive	S1
ça	I	moquerie	fictionnalisation/discours rapporté fictif en écho	prosodie	positive	S1
va	I	moquerie	fictionnalisation/discours rapporté fictif en écho	prosodie	positive	S1
c'est	I	moquerie	fictionnalisation/discours rapporté fictif en écho	prosodie	positive	S1
pour	I	moquerie	fictionnalisation/discours rapporté fictif en écho	prosodie	positive	S1
avoir	I	moquerie	fictionnalisation/discours rapporté fictif en écho	prosodie	positive	S1
des	I	moquerie	fictionnalisation/discours rapporté fictif en écho	prosodie	positive	S1
nouvelles	I	moquerie	fictionnalisation/discours rapporté fictif en écho	prosodie	positive	S1
en	I	moquerie	fictionnalisation/discours rapporté fictif en écho	prosodie	positive	S1
fait	I	moquerie	fictionnalisation/discours rapporté fictif en écho	prosodie	positive	S1
c'est	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S1
pour	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S1
savoir	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S1
si	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S1
j'ai	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S1
une	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S1
fille	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S4
ha	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S4
une	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S4
fille	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S4
cachée	I	moquerie	fictionnalisation/discours rapporté fictif en écho	rire	positive	S4
ouais						S3
parce						S1
que						S1
tu						S1
te						S1
retombes						S1
sur						S1
des						S1
gens						S1
euh						S1
moi						S0
je						S0
sais						S0
que						S0
j'avais						S0
moi						S0
j'avais						S0
tous						S0
mes						S0
collègues						S0
de						S0
Facebook						S0
quand						S0
j'étais						S0
au						S0
collège						S0
tout						S0
ça						S0
ben						S0
trop						S0
bien						S0
parce						S0
que						S0
tu						S0
vois						S0
ce						S0
qu'ils						S0
sont						S0
devenus						S0
tu						S0
vois						S0
si						S0
comment						S0
ils						S0
sont						S0
c'est						S0
pas						S0
que						S0
bon						S0
tu						S0
me						S0
dirais						S2
moi						S2
Facebook						S2
maintenant						S2
je						S2
m'en						S2
sers						S2
que						S2
pour						S2
la						S2
page						S2
euh						S2
SCLE						S2
L						S2
trois						S2
 						S2
ouais						S0
je						S0
m'en						S0
sers						S0
que						S0
pour						S0
ça						S0
le						S0
reste						S0
c'est						S0
bon						S0
c'était						S0
phew						S0
ouais						S0
j'ai						S1
vu						S1
ha						S1
ha						S4
ha						S4
j'ai						S4
vu						S4
maintenant						S4
c'est						S4
quoi						S3
parce						S3
que						S3
t'avais						S3
Lina						S3
ah						S3
ouais						S3
ah						S0
bon						S0
j'ai						S0
vu						S0
en						S0
téléphone						S0
quoi						S0
non						S0
mais						S0
c'est						S0
pas						S0
ré-						S0
ouais						S0
mais						S0
ça						S0
c'est						S0
pas						S0
euh						S0
c'est						S0
pas						S0
euh						S0
ah						S0
voilà						S0
ça						S0
va						S0
arriver						S0
quoi						S0
c'est						S0
pas						S0
c'est						S0
pas						S0
déjà						S0
euh						S0
déjà						S0
fait						S0
quoi						S0
mmm						S0
moi						S0
je						S0
sais						S0
moi						S0
c'est						S0
juste						S0
que						S0
euh						S0
plus						S0
j'enlèverais						S0
mes						S0
photos						S0
sur						S0
Facebook						S0
parce						S0
que						S0
tous						S0
les						S0
petits						S0
du						S0
collège						S2
tu						S2
vois						S2
ils						S2
commencent						S2
à						S2
connaître						S2
mon						S2
nom						S2
ils						S2
veulent						S2
aller						S2
sur						S2
Facebook						S2
voir						S2
mes						S2
photos						S2
ah						S0
Marine						S0
tu						S0
fumes						S0
ah						S0
Marine						S0
s-						S0
tu						S0
as						S0
un						S0
copain						S0
ah						S0
Marine						S0
tu						S0
as						S0
un						S0
frère						S0
une						S0
soeur						S0
ils						S0
connaissent						S0
toute						S0
ma						S0
vie						S0
juste						S0
parce						S0
qu'ils						S0
connu						S0
mon						S0
nom						S0
et						S0
qu'ils						S0
sont						S0
allés						S0
chercher						S0
mon						S0
nom						S0
sur						S0
Facebook						S0
ouais						S0
donc						S0
euh						S0
non						S0
j'hésite						S0
moi						S0
à						S0
enlever						S0
tu						S0
vois						S0
à						S0
enlever						S0
toutes						S0
mes						S0
photos						S0
et						S0
tout						S0
ouais						S1
un	L	autodérision	fictionnalisation	rire	positive	S0
compte	L	autodérision	fictionnalisation	rire	positive	S0
euh	L	autodérision	fictionnalisation	rire	positive	S3
ha	L	autodérision	fictionnalisation	rire	positive	S3
pour	L	autodérision	fictionnalisation	rire	positive	S3
les	L	autodérision	fictionnalisation	rire	positive	S3
enfants	L	autodérision	fictionnalisation	rire	positive	S3
du	L	autodérision	fictionnalisation	rire	positive	S3
collège	L	autodérision	fictionnalisation	rire	positive	S3
ouais						S3
je	L	autodérision	fictionnalisation	absence	positive	S1
me	L	autodérision	fictionnalisation	absence	positive	S1
mets	L	autodérision	fictionnalisation	absence	positive	S1
en	L	autodérision	fictionnalisation	absence	positive	S1
mode	L	autodérision	fictionnalisation	absence	positive	S1
euh	L	autodérision	fictionnalisation	absence	positive	S0
bien	L	autodérision	fictionnalisation	absence	positive	S0
habillée	L	autodérision	fictionnalisation	absence	positive	S0
euh	L	autodérision	fictionnalisation	absence	positive	S0
pas	L	autodérision	fictionnalisation	rire	positive	S0
de	L	autodérision	fictionnalisation	rire	positive	S0
je	L	autodérision	fictionnalisation	rire	positive	S0
fume	L	autodérision	fictionnalisation	rire	positive	S0
pas	L	autodérision	fictionnalisation	rire	positive	S0
je	L	autodérision	fictionnalisation	rire	positive	S0
bois	L	autodérision	fictionnalisation	rire	positive	S0
pas	L	autodérision	fictionnalisation	rire	positive	S0
ha	L	autodérision	fictionnalisation	rire	positive	S4
ha	L	autodérision	fictionnalisation	rire	positive	S4
ha	L	autodérision	fictionnalisation	rire	positive	S4
ha	L	autodérision	fictionnalisation	rire	positive	S4
ha	L	autodérision	fictionnalisation	rire	positive	S4
ha	L	autodérision	fictionnalisation	rire	positive	S4
ha						S4
ha						S4
mh						S2
mh						S2
ouais						S2
il						S0
a						S0
joué						S0
le						S0
rôle						S0
du						S0
père						S0
alors						S0
que						S0
mais						S0
non						S0
ouais						S0
je						S0
suis						S0
son						S0
père						S0
laissez-moi						S0
passer						S0
laissez-moi						S0
passer						S0
je						S0
suis						S0
le						S0
fils						S0
ah						S0
non						S0
je						S0
suis						S0
le						S0
fils						S0
de						S0
la						S0
victime						S0
ouais						S0
pardon						S0
tu						S0
as						S0
raison						S0
mais						S0
c'est						S0
p-						S0
c'est						S0
dans						S0
le						S0
but						S0
du						S0
euh						S0
du						S0
jou-						S0
de						S0
de						S0
son						S0
article						S0
quoi						S0
de						S0
toute						S0
