word	target	forms	processes	indicators	reactions	smile
payer	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
il	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
y	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
a	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
ci	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
il	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
y	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
a	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
ça	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
mouais						S1
non						S0
elle						S0
m'a						S0
pas						S0
répondu						S0
tant	L	autodérision	conclusif	prosodie	positive	S4
mieux	L	autodérision	conclusif	prosodie	positive	S4
ouais						S1
d						S1
ailleurs						S1
je						S1
passe						S1
pour						S1
le						S1
journaliste						S0
dans						S0
l						S0
histoire						S0
quoi						S0
qui						S0
est						S0
pour						S0
un						S0
qu-						S0
qui						S0
enfume						S0
en						S0
fait						S0
les						S0
gens						S0
et						S0
qui						S0
euh						S0
qui						S0
euh						S0
qui						S0
passe						S0
pour						S0
un						S0
ouais						S0
ouais						S0
ouais						S0
ouais						S0
ouais						S0
ouais						S0
ouais						S0
non						S0
mais						S0
tu						S0
ver-						S0
tu						S0
v						S0
err						S0
as						S0
Facebook						S0
c'est						S0
pas						S0
mal						S0
quoi						S0
parce						S0
que						S0
ouais						S0
ça						S0
laisse						S0
un						S0
trace						S0
en						S0
fait						S0
ouais						S0
ouais						S0
ouais						S0
ouaisouais						S0
c'est						S0
clair						S0
ouais						S0
ouaisouais						S0
ouais						S0
exactement						S0
ouais						S0
ah						S0
ouais						S0
ouais						S0
moi						S0
aussi						S0
ouais						S0
ouais						S0
moi						S0
j'ai						S0
enlevé						S0
toutes						S0
mes						S0
photos						S0
j'ai						S0
enlevé						S0
toutes						S0
mes						S0
photos						S0
toutes						S0
mes						S0
traces						S0
ouais						S0
ouais						S0
ouais						S0
complètement						S0
anonyme						S0
zéro						S0
non						S0
bien						S0
avant						S0
je						S0
l						S0
ai						S0
fait						S0
je						S0
l						S0
ai						S0
fait						S0
à						S0
partir						S0
de						S0
quatre						S0
mois						S0
quand						S0
euh						S0
quand						S0
j'ai						S0
su						S0
que						S0
euh						S0
à						S0
travers						S0
euh						S0
de						S0
ton						S0
profil						S0
Facebook						S0
on						S0
pouvait						S0
te						S0
fliquer						S0
à						S0
l						S0
entrée						S0
des						S0
centres						S0
commerciaux						S0
on						S0
prend						S0
toutes						S0
tes						S0
infos						S0
de						S0
Facebook						S0
ta						S0
photo						S0
et						S0
donc						S0
quand						S0
on						S0
te						S0
voit						S0
arriver						S0
dans						S0
dans						S0
dans						S0
dans						S0
dans						S0
dans						S0
dans						S0
un						S0
dans						S0
un						S0
couloir						S0
à						S0
avec						S0
euh						S0
des						S0
des						S0
des						S0
appareils						S0
euh						S0
qui						S0
vont						S0
euh						S0
servir						S0
à						S0
à						S0
t'identifier						S0
et						S0
ben						S0
on						S0
arrive						S0
on						S0
arrive						S0
à						S0
à						S0
influencer						S0
à						S0
t'influencer						S0
à						S0
travers						S0
euh						S0
zéro						S0
euh						S0
ton						S0
évolution						S0
dans						S0
la						S0
dans						S0
le						S0
centre						S0
commercial						S0
ouais						S0
mais						S0
c'est						S0
demain						S0
hein						S0
c'est						S0
demain						S0
ça						S0
va						S0
arriver						S0
ouais						S0
ça						S0
va						S0
arriver						S0
c'est						S0
demain						S0
ouais						S0
il						S0
prendre						S0
euh						S0
l						S0
habitude						S0
prendre						S0
l						S0
habitude						S0
de						S0
euh						S0
exactement						S0
exactement						S0
ouais						S0
ouais						S0
ouais						S0
tout						S0
à						S0
fait						S0
ouais						S0
voilà						S0
ouais						S0
ouais						S0
ouais						S0
ouais						S0
zéro						S0
mais						S0
c'est						S0
complètement						S0
ouais						S0
complètement						S0
ouais						S0
c'est						S0
complètement						S0
con						S0
hein						S0
ouais						S0
ouais						S0
è						S0
après						S0
après						S0
tu						S0
peux						S0
créer						S0
tu						S0
peux						S0
créer						S0
un						S0
petit						S0
journal						S0
tu						S0
vois						S0
si						S0
vraiment						S0
t						S0
u						S0
as						S0
envie						S0
d						S0
être						S0
euh						S0
et						S0
à						S0
ce						S0
moment						S0
là						S0
tu						S0
joues						S0
un						S0
rôle						S0
tu						S0
joues						S0
un						S0
rôle						S0
ouais						S0
ouais						S0
ouais						S0
ouais						S0
ouais						S0
ouais						S0
d						S0
ail-						S0
d						S0
a-						S0
d						S0
ailleurs						S0
euh						S0
le						S0
le						S0
le						S0
journaliste						S0
a						S0
joué						S0
un						S0
rôle						S0
quoi						S0
du						S0
fils						S0
oh						S0
oui						S0
je						S0
suis						S0
chu						S0
je						S0
suis						S0
chu						S0
de						S0
le						S0
je						S0
suis						S0
de						S0
la						S0
famille						S0
ouais						S0
mh						S0
la						S0
c'est						S0
pa-						S0
parfaitement						S0
conscient						S0
et						S0
c'est						S0
euh						S0
c'est						S0
euh						S0
oh						S0
ouais						S0
dans						S0
le						S0
but						S0
de						S0
son						S0
article						S0
ouais						S0
ouais						S0
ouais						S0
ouais						S0
ben						S0
tu						S0
penses						S0
aux						S0
paparazzi						S0
zéro						S0
mh						S0
heureusement						S0
il						S0
y						S0
a						S0
est-ce	A	moquerie	rebond	rire	positive	S0
